dataset,run,seed,nrows,ncols,i_5CV_logloss,p_5CV_logloss,i_TST_logloss,p_TST_logloss,i_geo_complexity,p_geo_complexity,i_nfs_complexity,p_nfs_complexity,i_H_total,i_H_active,i_C_inconsistentes,i_k_promedio_activas,p_H_total,p_H_active,p_C_inconsistentes,p_k_promedio_activas,i_d,p_d,i_l,p_l,i_f,p_f,i_tree_nfs,p_tree_nfs
Long.csv,5.0,6170.0,4477.0,20.0,0.0001,0.0228,0.0022,0.0242,1.0766,1.5388,3.6364,4.0,1.0,1.0,0.0,2.64,1.36,1.36,0.36,2.92,,,,,,,3.6364,4.0
MagicTelescope.csv,4.5,5553.0,19020.0,11.0,0.2986,0.2981,0.2991,0.2989,23.04,22.95,7.5,7.4,13.2,13.2,7.5,5.62,13.2,13.2,7.3,5.53,,,,,,,7.5,7.4
PhishingWebsites.csv,5.0,6170.0,11055.0,69.0,0.0937,0.0966,0.0944,0.0955,20.7444,19.369,39.8182,34.4545,13.18,13.18,37.64,29.81,12.91,12.91,32.0,25.79,,,,,,,39.8182,34.4545
Satellite.csv,5.0,6170.0,5100.0,37.0,0.0186,0.0196,0.0242,0.0236,1.9596,2.0601,10.9091,7.6364,1.64,1.64,1.45,8.08,1.82,1.82,0.55,5.61,,,,,,,10.9091,7.6364
SpeedDating.csv,5.0,6170.0,8378.0,501.0,0.3231,0.3194,0.3275,0.3252,5.2253,10.5634,193.8182,95.3636,4.0,4.0,89.82,144.3,9.45,9.18,58.64,70.73,,,,,,,193.8182,95.3636
Titanic.csv,5.0,6170.0,2201.0,4.0,0.4849,0.4849,0.4837,0.4837,22.3636,22.3636,3.0,3.0,12.09,11.18,3.0,2.24,12.09,11.18,3.0,2.24,,,,,,,3.0,3.0
churn.csv,5.0,6170.0,5000.0,34.0,0.1771,0.177,0.1788,0.1759,6.9488,8.6771,16.8182,12.4545,4.82,4.82,11.73,12.49,6.27,6.27,10.09,9.27,,,,,,,16.7273,12.4545
clean2.csv,5.0,6170.0,6598.0,169.0,0.0,0.0001,0.0002,0.0001,1.0426,9.7462,17.9091,13.7273,1.0,1.0,0.0,13.27,9.36,9.09,9.0,10.24,,,,,,,17.9091,13.7273
compas.csv,5.0,6170.0,5278.0,20.0,0.6021,0.6016,0.6045,0.6043,3.8813,4.6842,7.7273,6.3636,3.36,2.82,3.18,5.65,3.91,3.55,3.55,4.73,,,,,,,7.7273,6.3636
dis.csv,5.0,6170.0,3772.0,55.0,0.0695,0.0758,0.0684,0.0759,25.0111,49.398,32.1818,13.3636,6.45,5.18,2.64,18.39,7.91,3.55,1.45,4.08,,,,,,,25.1818,5.4545
eeg.csv,4.5,5553.0,14980.0,15.0,0.3039,0.304,0.3211,0.3195,28.9471,29.03,13.5,13.4,14.9,14.9,12.0,10.1,15.0,15.0,11.9,10.01,,,,,,,13.5,13.4
jasmine.csv,5.0,6170.0,2984.0,281.0,0.4211,0.4215,0.4401,0.4364,2.3926,8.8931,59.8182,52.7273,2.09,2.09,14.27,44.11,7.82,7.64,36.36,38.88,,,,,,,59.1818,52.3636
kc1.csv,5.5,6787.0,2109.0,22.0,0.3464,0.346,0.3543,0.3535,9.7544,4.2222,8.5,6.3333,1.25,1.17,0.58,5.71,3.42,3.42,1.58,4.61,,,,,,,8.5,6.3333
law.csv,5.0,6170.0,20800.0,20.0,0.0,0.0,0.0,0.0,1.0823,2.3636,4.0,4.0909,1.0,1.0,0.0,2.91,2.0,2.0,0.45,3.07,,,,,,,3.9091,4.0909
madeline.csv,5.0,6170.0,3140.0,260.0,0.4732,0.5829,0.4609,0.5735,11.7859,16.2808,48.9091,52.1818,10.45,9.91,48.0,36.5,8.64,6.27,24.55,35.76,,,,,,,48.9091,48.0909
mc1.csv,5.5,6787.0,9466.0,39.0,0.0272,0.0274,0.0302,0.0295,5.3759,5.3158,15.6667,6.25,3.83,3.83,10.0,11.56,4.5,4.5,4.17,4.58,,,,,,,15.6667,6.1667
philippine.csv,5.0,6170.0,5832.0,309.0,0.5043,0.509,0.5094,0.5113,2.8655,9.6727,60.6364,60.6364,2.45,2.45,22.64,45.27,8.18,8.09,45.36,45.17,,,,,,,60.6364,60.6364
ringnorm.csv,5.0,6170.0,7400.0,21.0,0.1826,0.1943,0.196,0.2031,21.4091,19.7555,12.9091,11.8182,12.82,12.82,12.91,9.65,12.36,12.27,11.82,8.83,,,,,,,12.9091,11.8182
shill.csv,5.0,6170.0,6321.0,1066.0,0.018,0.0137,0.0243,0.0184,5.1171,13.0611,229.6364,154.1818,4.27,4.27,162.09,159.04,11.55,11.55,127.73,104.65,,,,,,,218.7273,152.0
twonorm.csv,5.5,6787.0,7400.0,21.0,0.0611,0.0612,0.0639,0.0611,5.745,16.9717,19.9167,19.9167,4.08,4.08,0.0,14.92,11.67,11.5,1.0,14.91,,,,,,,19.9167,19.9167
