dataset,nrows,ncols,run,seed,i_5CV_logloss,p_5CV_logloss,i_TST_logloss,p_TST_logloss,i_geo_complexity,p_geo_complexity,i_nfs_complexity,p_nfs_complexity,i_H_total,i_H_active,i_C_inconsistentes,i_k_promedio_activas,p_H_total,p_H_active,p_C_inconsistentes,p_k_promedio_activas,i_best_model,p_best_model,i_d,p_d,i_l,p_l,i_f,p_f,i_tree_nfs,p_tree_nfs,i_tree_used_fs,p_tree_used_fs,i_selected_fs,p_selected_fs
Long.csv,4477,20,0,0,0.000193,0.000262,0.000352,0.000741,1.0842105263157895,1.0842105263157895,4,4.0,1,1,0,3.0,1,1,0,3.0,"MLPClassifier(activation='logistic', alpha=1.2256923016778832e-05,
              hidden_layer_sizes=1, max_iter=500, random_state=12345,
              solver='lbfgs')","MLPClassifier(activation='logistic', alpha=1e-05, hidden_layer_sizes=1,
              max_iter=500, random_state=12345, solver='lbfgs')",,,,,,,4,4,['x11' 'x12' 'x16' 'x18'],['x8' 'x12' 'x16' 'x18'],['x11' 'x12' 'x16' 'x18'],['x8' 'x12' 'x16' 'x18']
Titanic.csv,2201,4,0,0,0.488634,0.488634,0.467242,0.467242,20.0,20.0,3,3.0,10,10,3,2.2,10,10,3,2.2,"MLPClassifier(activation='logistic', alpha=1e-05, hidden_layer_sizes=10,
              max_iter=500, random_state=12345, solver='lbfgs')","MLPClassifier(activation='logistic', alpha=1e-05, hidden_layer_sizes=10,
              max_iter=500, random_state=12345, solver='lbfgs')",,,,,,,3,3,['Class' 'Age' 'Sex'],['Class' 'Age' 'Sex'],['Class' 'Age' 'Sex'],['Class' 'Age' 'Sex']
compas.csv,5278,20,0,0,0.603179,0.602338,0.59577,0.601255,2.631578947368421,8.021052631578947,9,7.0,2,2,2,6.5,8,6,6,5.166666666666667,"MLPClassifier(activation='logistic', alpha=0.1427994555237776,
              hidden_layer_sizes=2, max_iter=500, random_state=12345,
              solver='lbfgs')","MLPClassifier(activation='logistic', alpha=1.3700915224253547,
              hidden_layer_sizes=8, max_iter=500, random_state=12345,
              solver='lbfgs')",,,,,,,9,7,"['sex_0' 'sex_1' 'age' 'priors_count' 'age_cat_Greaterthan45_0'
 'age_cat_Greaterthan45_1' 'age_cat_Lessthan25_0' 'age_cat_Lessthan25_1'
 'race_Caucasian_0']","['sex_0' 'age' 'juv_fel_count' 'juv_misd_count' 'juv_other_count'
 'priors_count' 'race_Caucasian_0']","['sex_0' 'sex_1' 'age' 'priors_count' 'age_cat_Greaterthan45_0'
 'age_cat_Greaterthan45_1' 'age_cat_Lessthan25_0' 'age_cat_Lessthan25_1'
 'race_Caucasian_0']","['sex_0' 'age' 'juv_fel_count' 'juv_misd_count' 'juv_other_count'
 'priors_count' 'race_Caucasian_0']"
twonorm.csv,7400,21,0,0,0.058705,0.059141,0.066834,0.066421,1.4,16.799999999999997,20,20.0,1,1,0,15.0,12,12,0,15.0,"MLPClassifier(activation='logistic', alpha=0.013141046215382722,
              hidden_layer_sizes=1, max_iter=500, random_state=12345,
              solver='lbfgs')","MLPClassifier(activation='logistic', alpha=4.600104892506427,
              hidden_layer_sizes=12, max_iter=500, random_state=12345,
              solver='lbfgs')",,,,,,,20,20,"['V1' 'V2' 'V3' 'V4' 'V5' 'V6' 'V7' 'V8' 'V9' 'V10' 'V11' 'V12' 'V13'
 'V14' 'V15' 'V16' 'V17' 'V18' 'V19' 'V20']","['V1' 'V2' 'V3' 'V4' 'V5' 'V6' 'V7' 'V8' 'V9' 'V10' 'V11' 'V12' 'V13'
 'V14' 'V15' 'V16' 'V17' 'V18' 'V19' 'V20']","['V1' 'V2' 'V3' 'V4' 'V5' 'V6' 'V7' 'V8' 'V9' 'V10' 'V11' 'V12' 'V13'
 'V14' 'V15' 'V16' 'V17' 'V18' 'V19' 'V20']","['V1' 'V2' 'V3' 'V4' 'V5' 'V6' 'V7' 'V8' 'V9' 'V10' 'V11' 'V12' 'V13'
 'V14' 'V15' 'V16' 'V17' 'V18' 'V19' 'V20']"
Long.csv,4477,20,1,1234,0.000117,0.000117,0.001567,0.002156,1.0842105263157895,1.1052631578947367,4,5.0,1,1,0,3.0,1,1,0,4.0,"MLPClassifier(activation='logistic', alpha=1e-05, hidden_layer_sizes=1,
              max_iter=500, random_state=12345, solver='lbfgs')","MLPClassifier(activation='logistic', alpha=1e-05, hidden_layer_sizes=1,
              max_iter=500, random_state=12345, solver='lbfgs')",,,,,,,4,5,['x12' 'x13' 'x16' 'x18'],['x3' 'x7' 'x12' 'x13' 'x18'],['x12' 'x13' 'x16' 'x18'],['x3' 'x7' 'x12' 'x13' 'x18']
Titanic.csv,2201,4,1,1234,0.492311,0.492311,0.464076,0.464076,22.0,22.0,3,3.0,13,11,3,2.272727272727273,13,11,3,2.272727272727273,"MLPClassifier(activation='logistic', alpha=1e-05, hidden_layer_sizes=13,
              max_iter=500, random_state=12345, solver='lbfgs')","MLPClassifier(activation='logistic', alpha=1e-05, hidden_layer_sizes=13,
              max_iter=500, random_state=12345, solver='lbfgs')",,,,,,,3,3,['Class' 'Age' 'Sex'],['Class' 'Age' 'Sex'],['Class' 'Age' 'Sex'],['Class' 'Age' 'Sex']
compas.csv,5278,20,1,1234,0.595881,0.594761,0.621615,0.623906,6.063157894736842,9.210526315789473,11,6.0,4,4,9,8.25,8,7,6,4.428571428571429,"MLPClassifier(activation='logistic', alpha=1.9917287996798443,
              hidden_layer_sizes=4, max_iter=500, random_state=12345,
              solver='lbfgs')","MLPClassifier(activation='logistic', alpha=1.0582037261701616,
              hidden_layer_sizes=8, max_iter=500, random_state=12345,
              solver='lbfgs')",,,,,,,11,6,"['sex_0' 'age' 'juv_misd_count' 'juv_other_count' 'priors_count'
 'age_cat_25-45_0' 'age_cat_Greaterthan45_1' 'age_cat_Lessthan25_1'
 'race_African-American_0' 'race_Caucasian_0' 'race_Caucasian_1']","['sex_0' 'age' 'juv_other_count' 'priors_count' 'race_African-American_0'
 'race_Caucasian_0']","['sex_0' 'age' 'juv_misd_count' 'juv_other_count' 'priors_count'
 'age_cat_25-45_0' 'age_cat_Greaterthan45_1' 'age_cat_Lessthan25_1'
 'race_African-American_0' 'race_Caucasian_0' 'race_Caucasian_1']","['sex_0' 'age' 'juv_other_count' 'priors_count' 'race_African-American_0'
 'race_Caucasian_0']"
twonorm.csv,7400,21,1,1234,0.06126,0.061254,0.058272,0.058836,1.4,19.599999999999998,20,20.0,1,1,0,15.0,15,14,0,15.0,"MLPClassifier(activation='logistic', alpha=0.016100590670743663,
              hidden_layer_sizes=1, max_iter=500, random_state=12345,
              solver='lbfgs')","MLPClassifier(activation='logistic', alpha=3.56984209456009,
              hidden_layer_sizes=15, max_iter=500, random_state=12345,
              solver='lbfgs')",,,,,,,20,20,"['V1' 'V2' 'V3' 'V4' 'V5' 'V6' 'V7' 'V8' 'V9' 'V10' 'V11' 'V12' 'V13'
 'V14' 'V15' 'V16' 'V17' 'V18' 'V19' 'V20']","['V1' 'V2' 'V3' 'V4' 'V5' 'V6' 'V7' 'V8' 'V9' 'V10' 'V11' 'V12' 'V13'
 'V14' 'V15' 'V16' 'V17' 'V18' 'V19' 'V20']","['V1' 'V2' 'V3' 'V4' 'V5' 'V6' 'V7' 'V8' 'V9' 'V10' 'V11' 'V12' 'V13'
 'V14' 'V15' 'V16' 'V17' 'V18' 'V19' 'V20']","['V1' 'V2' 'V3' 'V4' 'V5' 'V6' 'V7' 'V8' 'V9' 'V10' 'V11' 'V12' 'V13'
 'V14' 'V15' 'V16' 'V17' 'V18' 'V19' 'V20']"
Titanic.csv,2201,4,2,2468,0.4864,0.4864,0.482434,0.482434,14.0,14.0,3,3.0,7,7,3,2.2857142857142856,7,7,3,2.2857142857142856,"MLPClassifier(activation='logistic', alpha=1e-05, hidden_layer_sizes=7,
              max_iter=500, random_state=12345, solver='lbfgs')","MLPClassifier(activation='logistic', alpha=1e-05, hidden_layer_sizes=7,
              max_iter=500, random_state=12345, solver='lbfgs')",,,,,,,3,3,['Class' 'Age' 'Sex'],['Class' 'Age' 'Sex'],['Class' 'Age' 'Sex'],['Class' 'Age' 'Sex']
Long.csv,4477,20,2,2468,5.8e-05,3.8e-05,0.001596,0.001919,1.063157894736842,1.0842105263157895,3,4.0,1,1,0,2.0,1,1,0,3.0,"MLPClassifier(activation='logistic', alpha=1.0000000000000003e-05,
              hidden_layer_sizes=1, max_iter=500, random_state=12345,
              solver='lbfgs')","MLPClassifier(activation='logistic', alpha=1e-05, hidden_layer_sizes=1,
              max_iter=500, random_state=12345, solver='lbfgs')",,,,,,,3,4,['x12' 'x16' 'x18'],['x4' 'x12' 'x16' 'x18'],['x12' 'x16' 'x18'],['x4' 'x12' 'x16' 'x18']
